{'0': 0.6555305343766258, '1': 0.9619722015175047, '2': 0.8528592101898158}
{'0': 1.8247632661527735, '1': 0.05583583809445092, '2': -1.270843705322576}
{'0': 2.1234194376642717, '1': -1.1081105017634112, '2': -2.684368901894527}
{'0': 1.1464407924921827, '1': -2.2944139209704177, '2': -3.9130505153209167}
{'0': 0.027684688360808563, '1': -3.439811616618496, '2': -5.052769822551614}
{'0': -1.0693395066757425, '1': -3.6116204701534853, '2': -5.861994050672763}
{'0': -1.3230966788534826, '1': -3.975866674607297, '2': -6.430708382797022}
{'0': -1.662166088030639, '1': -4.379595906958928, '2': -6.5280727964657395}
{'0': -2.0435388080634547, '1': -4.674650451870601, '2': -6.724720441395958}
{'0': -2.3350777159902907, '1': -4.92888662549006, '2': -6.944725736793311}
{'0': -2.5827255051584794, '1': -5.16182988942213, '2': -7.163552679694101}
{'0': -2.807762672955934, '1': -5.379871951882063, '2': -7.373921332379649}
{'0': -3.0177545830298715, '1': -5.585436760570463, '2': -7.573994395572156}
{'0': -3.215521801103748, '1': -5.7797002168105225, '2': -7.763612286035835}
{'0': -3.402351080230251, '1': -5.963427849851579, '2': -7.943115895342311}
{'0': -3.579027365973868, '1': -6.137236000054326, '2': -8.112980880918663}
{'0': -3.746158531180429, '1': -6.301674211717294, '2': -8.27370493913372}
{'0': -3.9042777379170626, '1': -6.457251969774887, '2': -8.42577379001778}
{'0': -4.053876364725541, '1': -6.604448059044371, '2': -8.569651604895224}
{'0': -4.195415254027988, '1': -6.7437144593244955, '2': -8.705778987117}
{'0': -4.32932915724305, '1': -6.875478486956119, '2': -8.834573251902643}
{'0': -4.456029011825419, '1': -7.000144340557378, '2': -8.956429372822543}
{'0': -4.5759034953768145, '1': -7.118094413952782, '2': -9.071721089468863}
{'0': -4.689320309211379, '1': -7.229690491832953, '2': -9.1808020214932}
{'0': -4.7966273346279635, '1': -7.335274866518428, '2': -9.284006743184097}
{'0': -4.898153708796206, '1': -7.4351713900547365, '2': -9.38165180655382}
{'0': -4.994210837051728, '1': -7.529686468227705, '2': -9.474036711302238}
{'0': -5.085093348905703, '1': -7.619110000594238, '2': -9.561444823148209}
{'0': -5.1710800020083685, '1': -7.703716269737525, '2': -9.644144242883154}
{'0': -5.252434537246025, '1': -7.783764782575596, '2': -9.722388628668561}
{'0': -5.329406487720933, '1': -7.85950106633525, '2': -9.796417974054854}
{'0': -5.402231944134865, '1': -7.931157421642611, '2': -9.86645934409404}
{'0': -5.471134278936163, '1': -7.9989536350432795, '2': -9.93272757179963}
{'0': -5.536324831455265, '1': -8.063097653138477, '2': -9.995425917088703}
{'0': -5.598003556131349, '1': -8.123786220405233, '2': -10.054746690226796}
{'0': -5.65635963581873, '1': -8.181205482657024, '2': -10.110871841687757}
{'0': -5.711572062054266, '1': -8.235531557995865, '2': -10.163973520237745}
{'0': -5.763810184065636, '1': -8.286931077007086, '2': -10.214214600955138}
{'0': -5.813234228204424, '1': -8.33556169385373, '2': -10.261749184805923}
{'0': -5.859995789397248, '1': -8.381572569838168, '2': -10.306723071306836}
{'0': -5.904238296122312, '1': -8.425104830914172, '2': -10.349274205726065}
{'0': -5.946097450337588, '1': -8.466292000552727, '2': -10.389533102193166}
{'0': -5.985701643709963, '1': -8.505260409289253, '2': -10.42762324401595}
{'0': -6.02317235142207, '1': -8.54212958220847, '2': -10.463661462432228}
{'0': -6.058624504764638, '1': -8.577012605555357, '2': -10.497758294958132}
{'0': -6.092166843657233, '1': -8.610016473596701, '2': -10.530018324432131}
{'0': -6.123902250178644, '1': -8.64124241679717, '2': -10.560540499794687}
{'0': -6.153928064129905, '1': -8.670786212316454, '2': -10.589418439587439}
{'0': -6.182336381597887, '1': -8.698738477779875, '2': -10.61674071910284}
{'0': -6.20921433743521, '1': -8.725184949223518, '2': -10.642591142064973}
{'0': -6.234644372522899, '1': -8.750206744066396, '2': -10.66704899767488}
{'0': -6.2587044866355654, '1': -8.773880609916265, '2': -10.690189303808804}
{'0': -6.281468477684666, '1': -8.796279159972197, '2': -10.712083037115278}
{'0': -6.303006168073707, '1': -8.817471095746006, '2': -10.732797350716876}
{'0': -6.3233836188596255, '1': -8.837521417785592, '2': -10.752395780184292}
{'0': -6.342663332377275, '1': -8.856491625046598, '2': -10.770938438414571}
{'0': -6.3609044439484785, '1': -8.874439903523871, '2': -10.788482200011215}
{'0': -6.378162903263679, '1': -8.891421304721314, '2': -10.805080875731681}
{'0': -6.394491645992529, '1': -8.90748791450752, '2': -10.820785377537376}
{'0': -6.409940756149782, '1': -8.922689012875132, '2': -10.835643874752371}
{'0': -6.424557619714494, '1': -8.937071225093929, '2': -10.849701941809798}
{'0': -6.438387069973746, '1': -8.950678664721266, '2': -10.863002698039148}
{'0': -6.451471525036653, '1': -8.963553068908519, '2': -10.875586939923181}
{'0': -6.463851117940478, '1': -8.975733926418535, '2': -10.88749326623013}
{'0': -6.4755638197479, '1': -8.98725859874677, '2': -10.898758196405021}
{'0': -6.486645556013008, '1': -8.998162434717592, '2': -10.909416282583214}
{'0': -6.497130316973249, '1': -9.008478878907273, '2': -10.919500215569768}
{'0': -6.507050261805315, '1': -9.018239574226204, '2': -10.92904092510966}
{'0': -6.5164358172647505, '1': -9.027474458974993, '2': -10.93806767475645}
{'0': -6.52531577101181, '1': -9.036211858672122, '2': -10.946608151630326}
{'0': -6.533717359909847, '1': -9.044478572934842, '2': -10.954688551340881}
{'0': -6.54166635356705, '1': -9.052299957679772, '2': -10.962333658335092}
{'0': -6.549187133377759, '1': -9.059700002895326, '2': -10.969566921916915}
{'0': -6.556302767305826, '1': -9.066701406224546, '2': -10.976410528171703}
{'0': -6.563035080639367, '1': -9.073325642583992, '2': -10.98288546801605}
{'0': -6.569404722933949, '1': -9.079593030032257, '2': -10.98901160158175}
{'0': -6.575431231349529, '1': -9.085522792090137, '2': -10.994807719131407}
{'0': -6.581133090575432, '1': -9.091133116703594, '2': -11.000291598692497}
{'0': -6.586527789527145, '1': -9.096441212030374, '2': -11.005480060586669}
{'0': -6.591631874988849, '1': -9.101463359221398, '2': -11.010389019021547}
{'0': -6.596461002366217, '1': -9.10621496235879, '2': -11.015033530903274}
{'0': -6.601029983705151, '1': -9.11071059570375, '2': -11.019427842019507}
{'0': -6.605352833123735, '1': -9.114964048399175, '2': -11.023585430734524}
{'0': -6.609442809796766, '1': -9.118988366764126, '2': -11.027519049330486}
{'0': -6.613312458624695, '1': -9.122795894309903, '2': -11.031240763121607}
{'0': -6.616973648711727, '1': -9.126398309600427, '2': -11.03476198746126}
{'0': -6.620437609771095, '1': -9.129806662073099, '2': -11.0380935227555}
{'0': -6.623714966569182, '1': -9.133031405929954, '2': -11.041245587590383}
{'0': -6.626815771514122, '1': -9.136082432203118, '2': -11.044227850074737}
{'0': -6.629749535488849, '1': -9.13896909909288, '2': -11.04704945749447}
{'0': -6.632525257023177, '1': -9.141700260671438, '2': -11.049719064369402}
{'0': -6.635151449894348, '1': -9.144284294040393, '2': -11.05224485899868}
{'0': -6.637636169240756, '1': -9.146729125025233, '2': -11.054634588576167}
{'0': -6.639987036268914, '1': -9.149042252485678, '2': -11.056895582952876}
{'0': -6.642211261629442, '1': -9.151230771316406, '2': -11.059034777119306}
{'0': -6.644315667533801, '1': -9.153301394208725, '2': -11.061058732476663}
{'0': -6.646306708679584, '1': -9.155260472239949, '2': -11.062973656962178}
{'0': -6.648190492048554, '1': -9.157114014353605, '2': -11.06478542409029}
{'0': -6.649972795638176, '1': -9.158867705790264, '2': -11.066499590968064}
{'0': -6.651659086184052, '1': -9.160526925525467, '2': -11.06812141534012}
{'0': -6.653254535927672, '1': -9.162096762768291, '2': -11.069655871715337}
{'0': -6.6547640384808595, '1': -9.16358203257112, '2': -11.071107666624835}
{'0': -6.65619222383561, '1': -9.164987290598528, '2': -11.072481253057974}
{'0': -6.6575434725653455, '1': -9.166316847100536, '2': -11.073780844120705}
{'0': -6.658821929261135, '1': -9.167574780133158, '2': -11.07501042595814}
{'0': -6.6600315152441185, '1': -9.168764948066732, '2': -11.076173769980969}
{'0': -6.661175940593092, '1': -9.169891001420424, '2': -11.077274444433245}
{'0': -6.662258715524183, '1': -9.170956394059221, '2': -11.07831582533702}
{'0': -6.663283161157489, '1': -9.171964393787725, '2': -11.079301106847375}
{'0': -6.664252419703714, '1': -9.172918092373266, '2': -11.08023331104963}
{'0': -6.665169464102057, '1': -9.173820415029056, '2': -11.081115297228777}
{'0': -6.666037107138901, '1': -9.174674129386503, '2': -11.081949770639564}
{'0': -6.666858010075273, '1': -9.175481853984168, '2': -11.082739290804138}
{'0': -6.667634690809549, '1': -9.176246066299425, '2': -11.083486279362681}
{'0': -6.668369531600419, '1': -9.176969110347457, '2': -11.08419302750115}
{'0': -6.669064786373843, '1': -9.17765320387089, '2': -11.084861702978863}
{'0': -6.669722587636337, '1': -9.178300445142115, '2': -11.085494356777513}
{'0': -6.670344953015875, '1': -9.178912819399187, '2': -11.086092929392018}
{'0': -6.670933791450422, '1': -9.179492204934991, '2': -11.086659256782447}
{'0': -6.671490909043074, '1': -9.180040378858411, '2': -11.08719507600534}
{'0': -6.672018014601804, '1': -9.180559022545122, '2': -11.087702030541664}
{'0': -6.67251672488076, '1': -9.181049726794765, '2': -11.08818167533774}
{'0': -6.672988569539229, '1': -9.181513996710287, '2': -11.08863548157463}
{'0': -6.673434995833453, '1': -9.181953256314454, '2': -11.089064841180583}
{'0': -6.673857373055699, '1': -9.182368852917639, '2': -11.0894710711004}
{'0': -6.6742569967341865, '1': -9.182762061250346, '2': -11.089855417334807}
{'0': -6.67463509260678, '1': -9.183134087373091, '2': -11.090219058762225}
{'0': -6.674992820380601, '1': -9.183486072375679, '2': -11.090563110754665}
{'0': -6.675331277289125, '1': -9.183819095877181, '2': -11.090888628598833}
{'0': -6.675651501457641, '1': -9.184134179337377, '2': -11.091196610732926}
{'0': -6.675954475087428, '1': -9.184432289189811, '2': -11.091488001809084}
